Date,Close/Last,Open,High,Low,SP500_Daily_Return,SP500_Return_Lag1,SP500_Return_Lag3,SP500_Daily_Return_Pct,SP500_Cumulative_Return,SP500_Rolling_Vol_5d,SP500_Rolling_Vol_20d,SP500_Return_5d,SP500_Return_20d,SP500_MA_5d,SP500_MA_20d
2016-08-24,2175.44,2185.09,2186.66,2171.25,-0.005240294480771901,0.0019517648352453953,-0.001440316046492529,-0.5240294480771901,0.025618782707087062,0.048010441993344206,0.05669731888133793,-0.0031069278074620232,0.00408939434500466,2183.174,2177.8395
2016-08-25,2172.47,2173.29,2179.0,2169.74,-0.001365241054683275,-0.005240294480771901,-0.0005632203382069934,-0.1365241054683275,0.024218565838481032,0.04098401302310244,0.05670799153695079,-0.006652888405227264,0.0011105683713814596,2180.264,2177.96
2016-08-26,2169.04,2175.1,2187.94,2160.39,-0.0015788480393283955,-0.001365241054683275,0.0019517648352453953,-0.15788480393283955,0.022601480363963145,0.04101897873568034,0.0566742570844209,-0.006790697248462596,-0.00209790209790206,2177.2980000000002,2177.732
2016-08-29,2180.38,2170.19,2183.48,2170.19,0.005228119352340244,-0.0015788480393283955,-0.005240294480771901,0.5228119352340244,0.027947762953185684,0.06287895603940537,0.05951610456936778,-0.0010354433163507482,0.0043946122238396335,2176.846,2178.209
2016-08-30,2176.12,2179.45,2182.27,2170.41,-0.0019537878718389745,0.005228119352340244,-0.001365241054683275,-0.19537878718389745,0.025939371081043827,0.06052442493960803,0.0549248149553083,-0.0049293520508483235,0.008850131894317492,2174.69,2179.1635
2016-08-31,2170.95,2173.56,2173.79,2161.35,-0.0023757880999210057,-0.0019537878718389745,-0.0015788480393283955,-0.23757880999210057,0.023501956531988943,0.050396675466428426,0.054830958847795895,-0.0020639502813225574,0.003309008730052243,2173.792,2179.5215
2016-09-01,2170.86,2171.33,2173.56,2157.09,-4.145650521647504e-05,-0.0023757880999210057,0.005228119352340244,-0.004145650521647504,0.023459525717788976,0.049685675428192064,0.05483580911383739,-0.000741091936827476,0.0030541758114821516,2173.4700000000003,2179.852
2016-09-02,2179.98,2177.49,2184.87,2173.59,0.004201100024874949,-4.145650521647504e-05,-0.0019537878718389745,0.42011000248749486,0.027759181556740398,0.05574687637059451,0.047591361837016094,0.005043705971305323,-0.001323945081475264,2175.6580000000004,2179.7074999999995
2016-09-06,2186.48,2181.61,2186.57,2175.1,0.002981678730997528,0.004201100024874949,-0.0023757880999210057,0.2981678730997528,0.030823629248975637,0.04656797153010865,0.048665225263534895,0.0027976774690650075,0.0025631737501663476,2176.8779999999997,2179.987
2016-09-07,2186.16,2185.17,2187.87,2179.07,-0.00014635395704520882,0.002981678730997528,-4.145650521647504e-05,-0.014635395704520882,0.030672764131819408,0.041954819368804915,0.04866484054022655,0.004613716155358993,0.002025905928295879,2178.886,2180.208
